sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2019 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"ID","Is Vectorized","Function Call Sites and Loops","Loop Annotation","Performance Issues","Total Time Percent","Total Time","Self Time Percent","Self Time","Total Elapsed Time","Self Elapsed Time","Type","Nesting Level","Loop Height","Max Depth","Parent ID","Compute Instructions","Memory Instructions","Total Instructions","Loop Function ID","Efficiency Confidence","Is Compiler Vector Length","Architecture","First Child","Function Instance Type","Loop Name","Source Full Path","Line","source_size","Unique Index","Is System Module","Thread","Issue Ids","Mangled Name","CFG No Index Register","CFG No Loop Step","CFG Index Modified In Body","CFG Jumps Outside","Transformation Ids","Library Name","key_column","Metadata Types","Why No Vectorization","Vector ISA","Efficiency","Gain Estimate","Vector Length","Compiler Estimated Gain","Self GFLOPS","Total GFLOPS","Self AI","Total Arithmetic Intensity","FP Mask Utilization","Self GINTOPS","Total GINTOPS","Self INT AI","Total INT AI","Int Mask Utilization","Self Giga OPS","Total Giga OPS","Self Overall AI","Total Overall AI","Mask Utilization","Self GFLOP","Self GINTOP","Total GINTOP","Self Giga OP","Total Giga OP","Self Memory GB","Self GB/s","Self L2 GB","Total L2 GB","Self L2 Loaded GB","Self L2 Stored GB","Total L2 Loaded GB","Total L2 Stored GB","Self L3 GB","Total L3 GB","Self L3 Loaded GB","Self L3 Stored GB","Total L3 Loaded GB","Total L3 Stored GB","Self L4 GB","Total L4 GB","Self L4 Loaded GB","Self L4 Stored GB","Total L4 Loaded GB","Total L4 Stored GB","Self DRAM GB","Total DRAM GB","Self DRAM Loaded GB","Self DRAM Stored GB","Total DRAM Loaded GB","Total DRAM Stored GB","Average Trip Count","Min Trip Count","Max Trip Count","Call Count","Iteration Duration","Loop Instance Total Time","Trip Count Total","Trip Count Reliable","Traits","Data Types","Number of Vector Registers","Vector Widths","Instruction Sets","Used Stack Instructions","Transformations","Multiversion Type","Multiversion","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Vectorization Trip Count Type","HLO Unroll Type","Compilation Flags","Compiler Name","Compiler Version","Vectorization Message Code","Vectorization Overhead","Loop Overrides","Main Vectorization Type","Source Location","Module","Thread Count","Offload Private","Offload Shared","Offload Host To Device","Offload Device To Host","Dynamic func_inst","Dynamic compute","Dynamic int_compute","Dynamic sp_compute","Dynamic dp_compute","Dynamic memory","Dynamic all_instructions","Dynamic vector_compute","Dynamic vector_memory","Dynamic sse_vector_compute","Dynamic avx_vector_compute","Dynamic avx2_vector_compute","Dynamic avx512_vector_compute","Dynamic avx512phi_vector_compute","Dynamic fma_vector_compute","Dynamic x86_scalar_compute","Dynamic x87_scalar_compute","Dynamic sse_scalar_compute","Dynamic avx_scalar_compute","Dynamic avx2_scalar_compute","Dynamic avx512_scalar_compute","Dynamic fma_scalar_compute","Dynamic sse_vector_memory","Dynamic avx_vector_memory","Dynamic avx2_vector_memory","Dynamic avx512_vector_memory","Dynamic avx512phi_vector_memory","Dynamic x86_scalar_memory","Dynamic x87_scalar_memory","Dynamic sse_scalar_memory","Dynamic avx_scalar_memory","Dynamic avx2_scalar_memory","Dynamic avx512_scalar_memory","Dynamic loads","Dynamic stores","Dynamic loaded_bytes","Dynamic stored_bytes","Dynamic compute_with_memory","Dynamic int_compute_with_memory","Dynamic sp_compute_with_memory","Dynamic dp_compute_with_memory","Dynamic vector_compute_with_memory","Dynamic sse_vector_compute_with_memory","Dynamic avx_vector_compute_with_memory","Dynamic avx2_vector_compute_with_memory","Dynamic avx512_vector_compute_with_memory","Dynamic avx512phi_vector_compute_with_memory","Dynamic fma_vector_compute_with_memory","Dynamic x86_scalar_compute_with_memory","Dynamic x87_scalar_compute_with_memory","Dynamic sse_scalar_compute_with_memory","Dynamic avx_scalar_compute_with_memory","Dynamic avx2_scalar_compute_with_memory","Dynamic avx512_scalar_compute_with_memory","Dynamic fma_scalar_compute_with_memory","Dynamic add","Dynamic mul","Dynamic sub","Dynamic div","Dynamic sad","Dynamic min","Dynamic avg","Dynamic max","Dynamic abs","Dynamic sign","Dynamic sqrt","Dynamic fma","Dynamic reccp","Dynamic scale","Dynamic vpconflict","Dynamic vplzcnt","Dynamic call"
"88","[x]","[loop in findlayer at DLMUSN.f90:7505]","1","","14.8328","28.970s","14.8328","28.970s","28.970s","28.970s","Vectorized (Body)","0","0","12","121","","","","120","1","1","2","","2","findlayer","/lustrehome/home/s.b.j.thorpe/DLMUSN/profile/src/DLMUSN.f90","7505","8","88","0","0","0","[Loop at line 7505 in findlayer]","","","","","0","","120","405","","AVX512","16.75","1.34x","8","1.34x","16.499","","0.625","","100","4.537","","0.172","","","21.037","","0.797","","100","477.986","131.446","","609.432","","764.777","26.399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","12","12","995803600","< 0.001s","< 0.001s","11949643200","3","FMA; Mask Manipulations","Float64; Int32; UInt32","","256","AVX; AVX2; AVX512F_256; FMA","","","0","","","","","","2","0","-g -O3 -xhost -c","Intel(R) Fortran Intel(R) 64 Compiler for applications running on Intel(R) 64, ","19.0.5.281 Build 20190815
","","0.5625","0","16","DLMUSN.f90:7505","DLMUSN","1","","","","","120","95597145600","23899286400","0","71697859200","71697859200","382388582400","83647502400","23899286400","0","0","11949643200","59748216000","0","11949643200","11949643200","0","0","0","0","0","0","0","11949643200","0","11949643200","0","47798572800","0","0","0","0","0","23899286400","0","764777164800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23899286400","0","23899286400","0","0","0","0","0","0","0","0","47798572800","0","0","0","0","0"
"84","","[loop in sources at DLMUSN.f90:5435]","1","","53.0275","103.568s","10.1681","19.859s","103.568s","19.859s","Scalar","3","2","9","117","","","","116","","","2","","2","sources","/lustrehome/home/s.b.j.thorpe/DLMUSN/profile/src/DLMUSN.f90","5435","1233","84","0","0","0","[Loop at line 5435 in sources]","","","","","0","","116","133","inner loop was already vectorized","","","","","","1.053","","0.107","","99","0.192","","0.019","","","1.244","","0.126","","99","20.904","3.806","","24.709","","196.268","9.883","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","997","997","997","45400","< 0.001s","0.002s","45263800","3","Divisions; FMA; Mask Manipulations; Square Roots; Unpacks","Float32; Float64; UInt64","","128/256","AVX; AVX2; AVX512DQ_128; AVX512F_128; AVX512F_256; FMA","","","0","","","","","","0","0","-g -O3 -xhost -c","Intel(R) Fortran Intel(R) 64 Compiler for applications running on Intel(R) 64, ","19.0.5.281 Build 20190815
","15542","","0","1","DLMUSN.f90:5435","DLMUSN","1","","","","","116","9213494934","862307884","0","8351187050","13597786287","35193618294","3128577426","4454030235","0","363956950","0","2583565276","0","181055200","862307884","0","0","2426995731","0","2433503493","362110400","0","2638638685","90527600","1724863950","0","952258738","0","0","5746696994","0","1675315720","10196268698","7229197215","119745747448","76522476712","3435436846","0","0","3435436846","1314578962","0","317011024","0","634883617","0","362684321","0","0","0","793922680","0","873106787","453828417","1454308535","4620886116","1274486327","1219894418","0","1183771","0","573921","0","0","135791400","2591324274","0","0","0","0","325636858"
"87","","[loop in sources at DLMUSN.f90:6550]","1","","33.5569","65.540s","8.82203","17.230s","65.540s","17.230s","Scalar","2","1","10","116","","","","119","","","2","","2","sources","/lustrehome/home/s.b.j.thorpe/DLMUSN/profile/src/DLMUSN.f90","6550","83","87","0","0","0","[Loop at line 6550 in sources]","","","","","0","","119","133","inner loop was already vectorized","","","","","","1.001","","0.109","","100","0.341","","0.037","","","1.342","","0.147","","100","17.242","5.879","","23.121","","157.783","9.157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","45263800","< 0.001s","< 0.001s","226319000","3","Divisions; FMA; Unpacks","Float64; UInt64","","128","AVX; AVX512F_128; AVX512F_128N; FMA","","","0","","","","","","0","0","-g -O3 -xhost -c","Intel(R) Fortran Intel(R) 64 Compiler for applications running on Intel(R) 64, ","19.0.5.281 Build 20190815
","15542","","0","1","DLMUSN.f90:6550","DLMUSN","1","","","","","119","8826440080","2252800162","0","6573639918","14267848987","35331098214","2494703229","5439128878","0","681872350","0","1360192879","0","452638000","2252800162","0","0","3626298689","0","452638000","0","0","3178217757","0","2260911121","0","1812830879","0","0","4305255919","0","452638000","13591807107","2942147000","121571993980","36211040000","5215725458","0","0","5215725458","1594621458","0","457832229","0","1133873879","0","2915350","0","0","0","2942147000","0","678957000","0","2936952311","3621103080","2942147000","2721022229","0","0","0","452638000","0","0","0","910470229","0","0","0","0","1357914000"
"92","[x]","[loop in findlayer at DLMUSN.f90:7500]","1","","5.87784","11.480s","5.87763","11.480s","11.480s","11.480s","Vectorized (Body)","0","0","12","121","","","","127","1","1","2","","2","findlayer","/lustrehome/home/s.b.j.thorpe/DLMUSN/profile/src/DLMUSN.f90","7500","2","92","0","0","0","[Loop at line 7500 in findlayer]","","","","","0","","127","405","","AVX512","53.5","4.28x","8","4.28x","0","","0","","","8.848","","0.133","","100","8.848","","0.133","","100","0","101.572","","101.572","","764.777","66.621","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","995803600","< 0.001s","< 0.001s","2987410800","3","Extracts; Type Conversions","<b>Float32</b>; Float64; Int32; UInt32","","256","AVX; AVX2; AVX512F_256","","Unrolled","0","","4","","","LOOP WAS UNROLLED BY 4","2","2","-g -O3 -xhost -c","Intel(R) Fortran Intel(R) 64 Compiler for applications running on Intel(R) 64, ","19.0.5.281 Build 20190815
","","","0","16","DLMUSN.f90:7500","DLMUSN","1","","","","","127","14937054000","14937054000","0","0","35848929600","92609734800","11949643200","35848929600","0","0","2987410800","8962232400","0","0","2987410800","0","0","0","0","0","0","0","23899286400","0","11949643200","0","0","0","0","0","0","0","0","23899286400","0","764777164800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14937054000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","","[loop in slicsy at DLMUSN.f90:2854]","1","","14.1621","27.660s","4.62844","9.040s","27.660s","9.040s","Scalar","2","1","9","93","","","","92","","","2","","2","slicsy","/lustrehome/home/s.b.j.thorpe/DLMUSN/profile/src/DLMUSN.f90","2854","39","63","0","0","0","[Loop at line 2854 in slicsy]","","","","","0","","92","133","inner loop was already vectorized","","","","","","1.200","","0.055","","92","0.206","","0.009","","","1.406","","0.064","","92","10.846","1.866","","12.712","","198.916","22.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","998","998","998","45600","< 0.001s","< 0.001s","45508800","3","Divisions; FMA; Mask Manipulations; Unpacks","Float32; Float64; UInt64","","128/256","AVX; AVX512DQ_128; AVX512F_128; AVX512F_256; FMA","","","0","","","","","","0","0","-g -O3 -xhost -c","Intel(R) Fortran Intel(R) 64 Compiler for applications running on Intel(R) 64, ","19.0.5.281 Build 20190815
","15542","","0","1","DLMUSN.f90:2854","DLMUSN","1","","","","","92","10249377456","864576000","0","9384801456","15405537765","34379896143","2269268562","4994460245","0","819158400","0","1359092562","0","91017600","864576000","0","0","5205980081","0","1818535213","91017600","0","4132087836","0","862372409","0","3366417619","0","0","5741052581","0","1030554520","6143357643","7434232672","87283466680","111632276360","546014400","0","0","546014400","182035200","0","91017600","0","91017600","0","0","0","0","0","272961600","0","91017600","0","1865815200","1392247984","1547208000","17472244","0","728140800","0","1547299200","0","0","0","1001193600","0","0","0","0","546105600"
"111","","[loop in slicwy at DLMUSN.f90:8565]","1","","7.01961","13.710s","4.39304","8.580s","13.710s","8.580s","Scalar","3","2","9","155","","","","154","","","2","","2","slicwy","/lustrehome/home/s.b.j.thorpe/DLMUSN/profile/src/DLMUSN.f90","8565","13","111","0","0","0","[Loop at line 8565 in slicwy]","","","","","0","","154","133","inner loop was already vectorized","","","","","","1.367","","0.093","","85","0.164","","0.011","","","1.532","","0.104","","85","11.733","1.411","","13.144","","126.123","14.700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","998","998","998","45600","< 0.001s","< 0.001s","45508800","3","Divisions; FMA; Mask Manipulations","Float32; Float64; UInt64","","128/256","AVX; AVX2; AVX512DQ_128; AVX512F_128; AVX512F_256; FMA","","","0","","","","","","0","0","-g -O3 -xhost -c","Intel(R) Fortran Intel(R) 64 Compiler for applications running on Intel(R) 64, ","19.0.5.281 Build 20190815
","15542","","0","1","DLMUSN.f90:8565","DLMUSN","1","","","","","154","8961041689","455042400","0","8505999289","11428709591","27819311870","1363257428","2579960728","0","531268649","0","649953579","0","182035200","455042400","0","0","4828253891","0","2268979170","45508800","0","2138305540","0","441655188","0","2041434461","0","0","5274852072","0","1350427130","4543604350","5634420568","56891533760","78707018816","403118370","0","0","403118370","136526400","0","136526400","0","0","0","0","0","0","0","181989600","0","84602370","0","1410772800","785030640","1410681600","19245128","0","728140800","0","1592808000","0","0","0","858251970","0","0","0","0","455088000"
"77","","[loop in sources at DLMUSN.f90:5441]","1","","6.69244","13.071s","3.24136","6.331s","13.071s","6.331s","Scalar","2","1","9","110","","","","109","","","2","","2","sources","/lustrehome/home/s.b.j.thorpe/DLMUSN/profile/src/DLMUSN.f90","5441","133","77","0","0","0","[Loop at line 5441 in sources]","","","","","0","","109","133","inner loop was already vectorized","","","","","","0.605","","0.096","","81","0.036","","0.006","","","0.641","","0.101","","81","3.831","0.226","","4.057","","40.109","6.336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","997","997","997","45400","< 0.001s","< 0.001s","45263800","3","Divisions; FMA; Mask Manipulations; Unpacks","Float64; Int32; UInt64","","128/256","AVX; AVX512DQ_128; AVX512F_128; AVX512F_256; FMA","","","0","","","","","","0","0","-g -O3 -xhost -c","Intel(R) Fortran Intel(R) 64 Compiler for applications running on Intel(R) 64, ","19.0.5.281 Build 20190815
","15542","","0","1","DLMUSN.f90:5441","DLMUSN","1","","","","","109","1207496573","135791400","0","1071705173","2336407478","4701082906","773932187","1236093891","0","0","0","728668387","0","45263800","135791400","0","0","98860841","0","198912145","0","0","276344652","0","959749239","0","135791400","0","0","680450625","0","284071562","1602089945","1271693502","27739435592","17801586880","589619863","0","0","589619863","91718063","0","0","0","91718063","0","0","0","0","0","271582800","0","226319000","0","410945589","549702047","318037063","192061433","0","0","0","0","0","0","0","277535115","0","0","0","0","0"
"79","[x]","[loop in sources at DLMUSN.f90:5482]","1","","3.02135","5.901s","3.02113","5.901s","5.901s","5.901s","Vectorized (Body)","0","0","10","109","","","","111","1","1","2","","2","sources","/lustrehome/home/s.b.j.thorpe/DLMUSN/profile/src/DLMUSN.f90","5482","3","79","0","0","0","[Loop at line 5482 in sources]","","","","","0","","111","405","","AVX512","55.25","2.21x","4","2.21x","1.105","","0.161","","100","0.031","","0.004","","","1.135","","0.165","","100","6.518","0.181","","6.699","","40.556","6.873","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","45263800","< 0.001s","< 0.001s","90527600","3","Divisions; FMA","<b>Float64</b>","","256","AVX; AVX512F_256; FMA","","","0","","","","Unaligned Access in Vector Loop","","2","0","-g -O3 -xhost -c","Intel(R) Fortran Intel(R) 64 Compiler for applications running on Intel(R) 64, ","19.0.5.281 Build 20190815
","","0.203125","0","32","DLMUSN.f90:5482","DLMUSN","1","","","","","111","543165600","90527600","0","452638000","452638000","1991607200","452638000","452638000","0","0","0","452638000","0","0","90527600","0","0","0","0","0","0","0","271582800","0","181055200","0","0","0","0","0","0","0","1176858800","90527600","37659481600","2896883200","814748400","0","0","814748400","814748400","0","90527600","0","633693200","0","90527600","0","0","0","0","0","0","0","90527600","0","543165600","362110400","0","0","0","0","0","0","0","362110400","0","0","0","0","0"
"120","","[loop in sourcew at DLMUSN.f90:10438]","1","","3.48113","6.799s","2.77984","5.429s","6.799s","5.429s","Scalar","2","1","9","165","","","","164","","","2","","2","sourcew","/lustrehome/home/s.b.j.thorpe/DLMUSN/profile/src/DLMUSN.f90","10438","265","120","0","0","0","[Loop at line 10438 in sourcew]","","","","","0","","164","133","inner loop was already vectorized","","","","","","0.744","","0.071","","100","0.158","","0.015","","","0.902","","0.087","","100","4.038","0.860","","4.898","","56.590","10.423","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","997","997","997","45400","< 0.001s","< 0.001s","45263800","3","Divisions; FMA; Square Roots","Float32; Float64; UInt64","","128/256","AVX; AVX2; AVX512F_256; FMA","","","0","","","","","","0","0","-g -O3 -xhost -c","Intel(R) Fortran Intel(R) 64 Compiler for applications running on Intel(R) 64, ","19.0.5.281 Build 20190815
","15542","","0","1","DLMUSN.f90:10438","DLMUSN","1","","","","","164","1327839547","135791400","0","1192048147","3471293852","8285403794","45263800","543165600","0","0","0","0","0","45263800","135791400","0","0","604413277","0","451843470","90527600","0","407374200","45263800","90527600","0","860012200","0","0","1707197447","0","360918605","2528948554","2281623985","33991783632","22598316680","705585568","0","0","705585568","316846600","0","90527600","0","45263800","0","181055200","0","0","0","324246653","0","19228515","45263800","187464705","628867526","193874210","103939893","0","1183771","0","0","0","0","135791400","510720810","0","0","0","0","142200905"
"118","","[loop in sourcew at DLMUSN.f90:10344]","1","","2.3711","4.631s","2.3713","4.631s","4.631s","4.631s","Scalar","1","1","9","163","","","","161","","","2","","2","sourcew","/lustrehome/home/s.b.j.thorpe/DLMUSN/profile/src/DLMUSN.f90","10344","59","118","0","0","0","[Loop at line 10344 in sourcew]","","","","","0","","161","133","inner loop was already vectorized","","","","","","0.854","","0.163","","100","0.039","","0.007","","","0.894","","0.171","","100","3.957","0.181","","4.138","","24.253","5.237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","997","997","997","45400","< 0.001s","< 0.001s","45263800","3","Divisions; FMA","Float64; UInt64","","128/256","AVX; AVX512F_256","","","0","","","","","","0","0","-g -O3 -xhost -c","Intel(R) Fortran Intel(R) 64 Compiler for applications running on Intel(R) 64, ","19.0.5.281 Build 20190815
","15542","","0","1","DLMUSN.f90:10344","DLMUSN","1","","","","","161","924504518","90527600","0","833976918","1479839489","3212682901","407374200","316846600","0","90527600","0","316846600","0","0","90527600","0","0","200283718","0","226319000","0","0","135791400","0","181055200","0","90527600","0","0","846146289","0","226319000","963358812","619827289","18208072096","6044949512","407374200","0","0","407374200","226319000","0","0","0","226319000","0","0","0","0","0","135791400","0","45263800","0","96937106","181055200","316846600","193874212","0","0","0","0","0","0","0","407374200","0","0","0","0","0"
